Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,47,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,48,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,49,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,50,,,
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,51,,,Laws and Ordinance to be Implemented
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,52,,,Bank of Ceylon Ordinance No. 53 of 1938
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,53,,,"Banking Act, No. 30 of 1988"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,54,,,"Housing Development Finance Corporation Act, No. 07 of 1997"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,55,,,"Recovery of loans by Banks (Special Provisions) Act, No. 4 of 1990"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,56,,,"Securities and Exchange Commission of Sri Lanka Act, No. 36 of 1987"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,57,,,"Regional Development Banks Act, No. 41 of 2008"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,58,,,"National Insurance Trust Fund Act, No. 28 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,59,,,Employees' Trust Fund (Special Provisions) Act No. 19 of 1993
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,60,,,"Employees Trust Fund Act, No. 46 of 1980"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,61,,,Excise (Special Provision) Act No. 13 of 1989
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,62,,,Registered Stock and Securities Ordinance No. 07 of 1937
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,63,,,"Payment and Settlement Systems Act, No. 28 of 2005"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,64,,,"Finance Business Act, No. 42 of 2011"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,65,,,"Foreign Exchange Act, No. 12 of 2017"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,66,,,Census Ordinance (Chapter 143)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,67,,,"Insurance Corporation Act, No. 02 of 1961"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,68,,,"Credit Information Bureau of Sri Lanka Act, No. 18 of 1990"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,69,,,Microfinance Act No. 6 of 2016
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,70,,,Finance Companies Act No. 78 of 1988
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,71,,,Exchange Control Act No. 24 of 1953
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,72,,,"Sri Lanka State Mortgage and Investment Bank Act, No. 13 of 1975"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,73,,,"Casino Business (Regulation) Act, No. 17 of 2010"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,74,,,"Payment Devices Frauds Act, No. 30 of 2006"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,75,,,Greater Colombo Economic Commission Law No. 4 of 1978 (Board of Investment of Sri Lanka Law)
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,76,,,"Colombo Port City Economic Commission Act, No. 11 of 2021"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,77,,,"Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act, No. 12 of 2019"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,78,,,"Institute of Chartered Accountants Act, No. 23 of 1959"
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,79,,,Strategic Development Project Act No. 14 of 2008
MINISTER_OF_FINANCE_ECONOMIC_STABILIZATION_AND_NATIONAL_POLICIES_CONTD.,80,,,"All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
