Minister,Row_ID,Column I,Column II,Column III
Hon. XYZ,2,"Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subject of Technology and Investment Promotion and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","Department of Registration of Persons
Information and Communication Technology Agency and Allied Institutions
Sri Lanka Computer Emergency Readiness Team
Sri Lanka Telecom and its Subsidiaries and Allied Institutions
Industrial Technology Institute
Sri Lanka Standards Institute","
Registration of Persons Act No. 32 of 1968
Information and Communication Technology Act, No. 27 of 2003
Electronic Transactions Act, No. 19 of 2006
Science and Technology Development Act, No. 11 of 1994
Sri Lanka Standard Institute Act, No. 6 of 1984
All other legislations pertaining to the subjects specified in Column I and II, and not specifically brought under the purview of any other Minister."
Hon. XYZ,3,Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
Hon. XYZ,4,"Reforming all systems and procedures using modern management techniques and technology, thus ensuring that the functions of the Ministry are fulfilled while eliminating corruption and waste.",,
Hon. XYZ,5,Take necessary measures for the provision of information and communication technology facilities for all by adoption of modern technologies,,
Hon. XYZ,6,Facilitate and supervise information technology initiatives for inter government agencies for promoting productivity and efficiency in the delivery of services,,
Hon. XYZ,7,Implementation of programmes for promotion of information and communication technology literacy,,
Hon. XYZ,8,Duties & Functions,,
Hon. XYZ,9,"Development of strategies to encourage and increase the use of information and communication technologies in all segments of the society, and coordinate and facilitate the information and communication technology initiatives in partnership with the private sector",,
Hon. XYZ,10,Actively intervene and prevent incidents related to cyber security,,
Hon. XYZ,11,Provision of necessary technical support for digital forensic investigations,,
Hon. XYZ,12,Enforcing standards and matters related to administration,,
Hon. XYZ,13,Registration of persons,,
Hon. XYZ,14,All other subjects that come under the purview of Institutions listed in Column II,,
Hon. XYZ,15,Supervision of all Institutions listed in Column II,,
MINISTER_OF_TECHNOLOGY_CONTINUED,1,7.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,2,8.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,3,9.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,4,10.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,5,11.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,6,12.,,
MINISTER_OF_TECHNOLOGY_CONTINUED,7,13.,,
