Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,11,Incentivizing investors to launch new housing projects by providing lands at concessionary prices to housing construction companies,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,12,Duties & Functions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,13,10. Management of Urban Solid Waste,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,14,11. Adopting measures to prevent the disposal of waste in an irresponsible manner,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,15,12. Formulating a programme to regulate all urban construction in terms of urban development plans,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,16,13. Ensure that all urban construction projects provide for vehicle parks and access facilities for disabled persons.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,17,14. Preparation of National Physical Plans and Regional Physical Plans,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,18,15. Directing and regulating all construction activities to be based on national physical plans to ensure integrated urban development,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,19,16. Maintenance and regulation of condominium property,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,20,17. Public condominium reforms and transferring ownership of houses efficiently and speedily.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,21,18. Matters relating to reclamation and development of low lying areas,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,22,19. Providing necessary guidance for the development of underserved areas and marshy lands in urban areas based on a common plan,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,23,20. Establish standards and norms for government quarters and other buildings,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,24,Duties & Functions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,25,Implement housing schemes and housing financial grants programmes to service housing needs of people including low income recipients and particular community groups,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,26,Provide guidance to rural communities on environmental friendly and cost effective techniques for housing construction,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,27,Provide mechanical engineering services to government institutions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,28,"Regulation, registration, regularization and standardization of activities in the construction sector in line with relevant rules and regulations and standards",,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,29,Provide consultancy and regulatory services for the construction industries,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,30,Provide training on heavy construction equipment operation and maintenance,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,31,Develop basic infrastructure in remote rural areas using appropriate technology,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,32,Develop building material industry,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,33,Strengthen local construction personnel,,"Departments, Statutory Institutions & Public Corporations"
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,34,Strengthen and safeguard local small and medium scale subcontractors,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,35,Engineering consultancy services and construction work,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,36,Duties & Functions,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,37,Prevention of marine pollution,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,38,Preparation and implementation of an action plan for the prevention of marine and marine related pollution,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,39,Coast Conservation and Protection,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,40,Implementing ocean cleanliness programmes for the prevention of damage caused to the coastal belt and sea bed by the disposal of waste,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,41,Creation of new villages and townships aimed at developing housing and infrastructure for landless employed in government and privately owned plantation companies,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,42,"Adopting necessary measures for the provision of basic facilities, livelihood generation and community development projects including other requirements for empowerment of plantation community economically, socially and culturally",,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,43,Development of basic infrastructure in rural estate sector,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,44,Establishing 'People-Centric Boards and People-Centric Centers' giving pride of place to estate sector related community leadership and community participation.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,45,Implement a special programme to ensure primary education and healthcare for children in estate communities.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,46,Duties & Functions,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,47,41. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,48,42. Supervision of all Institutions listed in Column II,,
